"country","journal","n.useable.papers","n.authors","gender.ratio.of.sample","observed.alpha","lower.95.CI","upper.95.CI","alpha.adjusted","lower.95.CI2","upper.95.CI2","two.tail.p.value"
"USA","A A Case Rep",72,269,31.9702602230483,-0.0600536160581909,-0.120028005455591,0.0121264257691323,-0.0536782370846419,-0.111974294224037,0.0124491940167884,0.258
"USA","Acad Med",144,535,53.2710280373832,0.110264160401002,0.0279618934296664,0.174956165296151,0.112774603174603,0.0300034452613957,0.175609529009495,0.005
"USA","ACS Appl Mater Interfaces",64,249,20.8835341365462,0.0755271378367824,-0.0158184868240123,0.199278736922119,0.0833958554136219,-0.00617231578613789,0.201266749312719,0.165
"Poland","Acta Biochim Pol",60,255,71.3725490196078,0.0351336530397195,-0.0655343315305873,0.120540242308048,0.0413566374916668,-0.0587047846769778,0.130643793700087,0.494
"Iran","Acta Med Iran",58,237,41.3502109704641,0.0224626129999791,-0.0831970732104671,0.105235810825662,0.0309303577546126,-0.0801704931707455,0.116414346310504,0.675
"Portugal","Acta Med Port",59,231,51.0822510822511,0.175123743812809,0.00532041373149744,0.245650704372872,0.182893355332233,0.0138058754457794,0.248381307299665,0
"USA","Addict Behav",81,339,53.9823008849558,0.0253102544086151,-0.0520465249642574,0.139364727137529,0.0294182479633299,-0.0446481823464575,0.153924384646168,0.567
"Iran","Adv Biomed Res",105,423,36.4066193853428,0.0844642081232628,-0.0112136753531997,0.148977037435701,0.0872795552827417,-0.00600246888574772,0.145643745398719,0.048
"Poland","Adv Clin Exp Med",55,241,55.6016597510373,0.149730984596377,0.0363967957968166,0.268848209553307,0.154077742130469,0.041282423806999,0.269196640449687,0.003
"USA","Adv Exp Med Biol",56,168,36.9047619047619,0.00474741326841144,-0.145995261533941,0.0780418052408477,0.0110772976262933,-0.140442369450146,0.098950503307216,0.96
"USA","AIDS",66,459,48.5838779956427,0.0749152221571846,0.00619952032984289,0.108277444299917,0.0759231666714376,0.00551459702760372,0.112083372956599,0.01
"USA","Am Fam Physician",97,227,48.8986784140969,0.0950088019053537,-0.0484838703207024,0.268427080685839,0.105778191985089,-0.0538251276417353,0.259413230491302,0.259
"USA","Am J Bot",57,183,41.5300546448087,0.163612887358583,0.0203610883797054,0.31471081002331,0.169902852926709,0.0157370018778103,0.321530794111032,0.032
"USA","Am J Crit Care",53,232,66.8103448275862,0.0102499650886748,-0.0507149958623615,0.103504040069897,0.0183741297105352,-0.0398578361521687,0.114096709582687,0.855
"USA","Am J Dermatopathol",58,216,51.8518518518519,0.0651785714285715,-0.054969326797962,0.150067016976651,0.075206043956044,-0.0455334466233857,0.163071581631541,0.299
"USA","Am J Emerg Med",103,407,30.4668304668305,0.0710210032947409,-0.00712933907806605,0.151217021034394,0.0758846135057237,-0.00369036060766191,0.155286276121197,0.113
"USA","Am J Gastroenterol",57,214,27.1028037383178,-0.021975916803503,-0.0900976470519015,0.0766486362937262,-0.016443518167656,-0.0838664953090827,0.0733866908855885,0.747
"USA","Am J Manag Care",63,279,50.8960573476703,0.0457423372350894,-0.0400360424996939,0.148568746760155,0.0504685044574014,-0.0328476944182748,0.161375627181354,0.335
"USA","Am J Med",70,243,27.1604938271605,0.0306625577812019,-0.0743766195192493,0.0961576907030109,0.0332819722650232,-0.0694978009110107,0.0974238120077246,0.603
"USA","Am J Obstet Gynecol",69,255,57.6470588235294,0.0267332241538591,-0.0823573504628758,0.0844902964404802,0.0274838330393886,-0.0824574719776626,0.0748588670035915,0.674
"USA","Am J Orthop",75,291,11.340206185567,0.130144467935166,0.0210940447013796,0.198540282681793,0.138424947145877,0.033903579514663,0.217204256500214,0.012
"USA","Am J Pharm Educ",55,177,66.1016949152542,0.136011396011396,-0.0206276846599962,0.262829283435862,0.141756885090218,-0.023291276839681,0.264243079653718,0.071
"USA","Am J Public Health",162,580,55.1724137931034,0.125236378205128,0.030759057062398,0.167018908784517,0.12868418040293,0.0398829700516902,0.176381959054826,0.001
"USA","Am J Sports Med",91,463,19.6544276457883,0.0226458683831955,-0.0189175594774017,0.0896703578314264,0.0259975026680095,-0.0235003566822267,0.0998189923774573,0.505
"USA","Am J Surg",99,518,38.2239382239382,0.037140805147434,-0.0180649085766322,0.0832555747229215,0.0409804563947557,-0.0121898127372566,0.0872096719848225,0.255
"USA","Am Surg",130,640,30.3125,0.0492481029210723,0.00758404354254742,0.123223444433193,0.0536355451061197,0.00974891748096494,0.130375726607321,0.099
"USA","Anal Chem",98,350,30.2857142857143,0.0268004433446747,-0.0608975142119033,0.0871671496539792,0.0289495051036188,-0.059644921667185,0.0960452615643389,0.572
"Turkey","Anatol J Cardiol",85,461,16.7028199566161,0.0251868025102603,-0.0155363600886735,0.0741305056466467,0.0307110242225908,-0.00689883997052978,0.0793415952500059,0.447
"USA","Anesth Analg",126,501,27.1457085828343,0.157790951997237,0.070575228280766,0.209799435385788,0.158923463220905,0.0616195467400646,0.207476793453324,0
"USA","Anesthesiology",93,317,27.7602523659306,0.0456986033132321,-0.0509549772705075,0.0997700445866933,0.0498630251359509,-0.0495410212201974,0.109851060162951,0.395
"USA","Ann Emerg Med",79,208,26.9230769230769,0.107268170426065,-0.032758881482628,0.242028858746935,0.115256892230576,-0.0163592504197042,0.252132541832522,0.207
"USA","Ann Pharmacother",52,178,52.247191011236,0.0647775669407548,-0.0742485036311729,0.184495194427824,0.0668016023613747,-0.0680854667168311,0.185405613580753,0.38
"USA","Ann Plast Surg",60,257,27.2373540856031,-0.00475790316126457,-0.0864688934420588,0.0567175195695562,0.00373967768925743,-0.0692247874925996,0.0682259428822511,0.928
"USA","Ann Surg",83,419,24.8210023866348,0.11212615316782,0.0417001876343975,0.181300832161652,0.116300069529236,0.0427792113620837,0.189216956876593,0.001
"USA","Ann Thorac Surg",95,420,25.4761904761905,0.0262856687866392,-0.0318087392275119,0.0820130353634234,0.0302767907796124,-0.0294878673881873,0.0923905431782593,0.528
"USA","Ann Transl Med",65,186,32.7956989247312,-0.0672131147540984,-0.134685915245582,0.0901620060866047,-0.063016393442623,-0.13748761592007,0.100719245776184,0.424
"USA","Antimicrob Agents Chemother",126,633,36.1769352290679,0.0828870527414564,0.0047256733260088,0.122782719575042,0.0834568383538292,0.00912598024522905,0.122004745097101,0.007
