"journal","n.useable.papers","n.authors","gender.ratio.of.sample","observed.alpha","lower.95.CI","upper.95.CI","alpha.adjusted","lower.95.CI2","upper.95.CI2","two.tail.p.value"
"ACS Appl Mater Interfaces",57,114,25.4385964912281,0.0288032454361055,-0.213361776936735,0.320115601374028,0.0924949290060852,-0.173120886575924,0.355796408784226,1
"Acad Med",51,102,38.2352941176471,0.211233211233211,-0.0694630730050935,0.477335435553804,0.249084249084249,-0.0451605451605451,0.508439273145155,0.136
"Acta Crystallogr E Crystallogr Commun",50,100,20,0.125,-0.176470588235294,0.431818181818182,0.125,-0.185888386975343,0.415204678362573,0.674
"Addiction",55,110,35.4545454545455,-0.0725893824485373,-0.336341548073586,0.177489177489177,-0.0794510653665583,-0.350837419561454,0.167395366339028,0.775
"Adv Exp Med Biol",197,394,31.4720812182741,-0.0120669056152927,-0.152620090534308,0.12247080541573,0,-0.135611524111009,0.141218637992832,0.891
"Am Fam Physician",87,174,45.4022988505747,0.142171885409727,-0.0587301587301586,0.337026779072651,0.13910726182545,-0.0738450957014101,0.324583610926049,0.202
"Am J Bioeth",58,116,36.2068965517241,0.328185328185328,0.0479797979797979,0.560606060606061,0.298584298584299,0.0311277153382417,0.545490545490546,0.017
"Am J Emerg Med",55,110,23.6363636363636,0.194139194139194,-0.1,0.467092882822155,0.201465201465202,-0.0926739926739926,0.503663003663004,0.266
"Am J Obstet Gynecol",64,128,42.96875,-0.052054794520548,-0.296763034346429,0.2,-0.063760896637609,-0.332054833411791,0.18338823750558,0.799
"Am J Public Health",86,172,46.5116279069767,0.392391304347826,0.180528328133151,0.557613156090872,0.373913043478261,0.183895934185355,0.560875445409934,0
"Am J Respir Crit Care Med",95,190,27.3684210526316,-0.00613154960981055,-0.215351812366738,0.188816967359868,0,-0.205073393055938,0.186313070216863,1
"Anal Chem",68,136,26.4705882352941,0.244444444444444,-0.0245304338556656,0.488721804511278,0.226666666666667,-0.0475561841898474,0.453333333333333,0.056
"Anesth Analg",56,112,11.6071428571429,0.390831390831391,-0.0666666666666665,0.730769230769231,0.348096348096348,-0.11965811965812,0.696192696192696,0.017
"Anesthesiology",64,128,22.65625,0.152908394287705,-0.114764406396187,0.390743525480367,0.178335074886799,-0.0891675374433994,0.469245601748314,0.267
"Angew Chem Int Ed Engl",135,270,20.7407407407407,0.0987983978638185,-0.0878789851795791,0.279199306438224,0.0901201602136182,-0.0948040555260343,0.263637087167175,0.318
"Ann Am Thorac Soc",52,104,32.6923076923077,-0.0487394957983193,-0.311711711711712,0.213445378151261,0,-0.262972215913392,0.267475686695359,0.786
"Ann Emerg Med",84,168,20.8333333333333,0.169924812030075,-0.0883549067685465,0.387885167464115,0.144360902255639,-0.0952932221287484,0.3637997265892,0.177
