"journal","n.useable.papers","n.authors","gender.ratio.of.sample","observed.alpha","lower.95.CI","upper.95.CI","alpha.adjusted","lower.95.CI2","upper.95.CI2","two.tail.p.value"
"A A Case Rep",100,373,31.3672922252011,-0.0351029901811152,-0.0905009103642978,0.0238748278533713,-0.0287610971204721,-0.0840181450966862,0.0298122576730221,0.464
"ACS Appl Mater Interfaces",509,2570,28.2879377431907,0.0770432000358089,0.0497155843933925,0.105067760506424,0.0777305377577346,0.0476690742385242,0.10345886101476,0
"ACS Chem Biol",128,698,31.9484240687679,0.0179841843311279,-0.0338301428977017,0.0405547187779582,0.0190558309862062,-0.033185486443923,0.0412678049759967,0.514
"ACS Chem Neurosci",53,295,39.6610169491525,-0.00267000944039264,-0.0660295417916269,0.0583838688273456,0.00433078450940744,-0.0634157858494319,0.0766905211894275,0.94
"ACS Nano",238,1352,25.4437869822485,0.0438323989645972,0.00482116969860838,0.0662406693064417,0.0449455814938928,0.00639022777984803,0.0667409642457207,0.019
"ACS Synth Biol",61,295,24.4067796610169,0.00765929456138725,-0.0513660569785346,0.0829872298035071,0.0130097059282411,-0.0462947649417828,0.0902090993663752,0.867
"AIDS",167,1207,46.2303231151616,0.041824462549482,0.0096774910240305,0.068910393163944,0.0428818707661676,0.00907360122719128,0.0693224702574729,0.01
"AIDS Behav",124,686,50.2915451895044,0.0914412913647901,0.0389308244102941,0.135155311535049,0.0929721777318361,0.0402368361033387,0.137227856961012,0
"AIDS Care",114,589,55.3480475382003,0.0901019674119117,-0.00557322738645705,0.0983283816849961,0.0922276002797475,-0.000427190021482941,0.0973286854936082,0.002
"AIDS Res Hum Retroviruses",60,396,46.4646464646465,0.0349620590648072,-0.0276158169023367,0.0878959489473714,0.0390560910582444,-0.0220817604760099,0.0907592233986909,0.236
"AJR Am J Roentgenol",183,840,31.4285714285714,0.151313482042649,0.0719701942502863,0.195332588592685,0.153792701318743,0.0758327565650978,0.198617396858317,0
"AMA J Ethics",51,123,48.780487804878,0.0943121693121692,-0.0775884709160571,0.298303906473489,0.0960695389266817,-0.08756539694706,0.309069978778064,0.397
