"journal","n.useable.papers","n.authors","gender.ratio.of.sample","observed.alpha","lower.95.CI","upper.95.CI","alpha.adjusted","lower.95.CI2","upper.95.CI2","two.tail.p.value"
"A A Case Rep",100,273,29.3040293040293,0.0323108823108823,-0.0698823057540504,0.134621254316802,0.0292149292149292,-0.0834003099081223,0.126099603782014,0.624
"ACS Appl Mater Interfaces",509,2061,26.3949539058709,0.0743210821607683,0.0242166097892746,0.125197778347481,0.0738666947834199,0.0249922785611688,0.122103975512729,0.002
"ACS Chem Biol",128,570,30.3508771929825,0.0424192289192289,-0.0627606682304051,0.15597184208916,0.0433983655233656,-0.0652391930389365,0.152700130501404,0.458
"ACS Chem Neurosci",53,242,40.0826446280992,-0.0160753135753137,-0.175163487953306,0.166191422466422,-0.0188668276168277,-0.17775139291917,0.145704914897402,0.858
"ACS Nano",238,1114,24.4165170556553,0.0446778818013758,-0.0194480811545328,0.108088598293172,0.0423547484792465,-0.0251061134482284,0.11051094504841,0.168
"ACS Synth Biol",61,234,24.7863247863248,0.045477791374448,-0.113112625911686,0.216140128410848,0.0486665942972934,-0.11091997496782,0.234952318689246,0.586
"AIDS",167,1040,44.8076923076923,0.0776117123617124,0.00426926080853625,0.16534152315133,0.0786565734989648,-0.00377575439223994,0.155276193293556,0.04
"AIDS Behav",124,562,49.1103202846975,0.162975628528988,0.06438904011754,0.262256460750424,0.16503837693561,0.0644159755863664,0.272581880434178,0.001
"AIDS Care",114,475,52.8421052631579,0.167730602730603,0.0555450124233089,0.28006809473856,0.169019813519813,0.0499507611972283,0.283518572862323,0.002
"AIDS Res Hum Retroviruses",60,336,44.6428571428571,0.0470453566041802,-0.0861830119579761,0.16612634169218,0.050918893198305,-0.0844062075952176,0.186095901971252,0.463
"AJR Am J Roentgenol",183,657,31.3546423135464,0.207662999452655,0.106027587224564,0.307400186903348,0.206619184455391,0.103740186340136,0.313372979809089,0
"AMA J Ethics",51,72,54.1666666666667,0.117403628117914,-0.144956213977953,0.366478244172844,0.120209750566893,-0.128614332096475,0.378844523702898,0.362
"AMIA Annu Symp Proc",63,182,37.9120879120879,0.0906964380648591,-0.103371435530734,0.297211041211892,0.0890284423179159,-0.125185685431513,0.262288078256639,0.351
"ANZ J Surg",158,430,22.3255813953488,0.120485588972431,0.0213114362668004,0.225061790158012,0.121594611528822,0.0257172834030253,0.227835351776295,0.018
"ASAIO J",57,278,22.3021582733813,0.0780074299223236,-0.132816098661687,0.318083083233293,0.0835994826686317,-0.13166344000297,0.337355299711761,0.416
