"journal","n.useable.papers","n.authors","gender.ratio.of.sample","observed.alpha","lower.95.CI","upper.95.CI","alpha.adjusted","lower.95.CI2","upper.95.CI2","two.tail.p.value"
"A A Case Rep",100,273,34.0659340659341,-0.0430764411027569,-0.157996835680659,0.0792177161654135,-0.042609126984127,-0.159778007330108,0.0845893809278096,0.551
"ACS Appl Mater Interfaces",509,2061,29.6943231441048,0.0821309937763258,0.0209791642276303,0.141854257063704,0.0825667112259474,0.0243730720439562,0.138135618607469,0.003
"ACS Chem Biol",128,570,34.0350877192982,0.0645125797032797,-0.0716228753941556,0.207053456364692,0.0612798208409493,-0.0850987913380662,0.214629391490507,0.325
"ACS Chem Neurosci",53,242,43.3884297520661,-0.0970149994540239,-0.293560555681091,0.113740391883249,-0.0950970720787795,-0.29160494806281,0.109077146910554,0.332
"ACS Nano",238,1114,27.2890484739677,0.0705397317329136,-0.0158767552748817,0.159152506474667,0.0689182909542759,-0.0147257641872756,0.148355422205142,0.126
"ACS Synth Biol",61,234,26.4957264957265,-0.0753904592139887,-0.27590932738876,0.158520243875969,-0.0738045723339841,-0.267082658775172,0.156091067959681,0.519
"AIDS",167,1040,48.3653846153846,0.0387871818837727,-0.0475136031363314,0.117890795098127,0.0346264652555236,-0.053221503827217,0.125524278443843,0.371
"AIDS Behav",124,562,53.914590747331,0.0642567572445621,-0.0667180220573078,0.180082676881571,0.0689506671867299,-0.059465981554816,0.180060016946,0.249
"AIDS Care",114,475,55.7894736842105,0.167747076616548,0.0572352831036716,0.2794313196972,0.167209956933124,0.048236955392735,0.280733463063949,0.001
"AIDS Res Hum Retroviruses",60,336,48.5119047619048,0.0377551020408163,-0.103729520975057,0.191992375283447,0.0374687481830339,-0.105169715293214,0.18233826008881,0.589
"AJR Am J Roentgenol",183,657,33.0289193302892,0.170205254087451,0.0480700024542914,0.287116446303138,0.170792763027197,0.043883471338117,0.297751447533832,0
"AMA J Ethics",51,72,52.7777777777778,-0.00496342737722055,-0.262943382704252,0.256950320512821,-0.0131456187490671,-0.298640945580601,0.24736065408854,0.969
"AMIA Annu Symp Proc",63,182,35.1648351648352,0.00227920227920231,-0.189841374269006,0.205047932547932,0.00640135327635333,-0.186054560482635,0.202995464259681,0.975
"ANZ J Surg",158,430,25.5813953488372,0.0850050343520493,-0.050974299421261,0.247163314163385,0.0877702262497039,-0.0434995473313703,0.236688893475318,0.218
"ASAIO J",57,278,23.0215827338129,-0.0281988986070619,-0.222469603014162,0.225134272756722,-0.0245014834938305,-0.240090386004733,0.250461594233461,0.782
