"journal","n.useable.papers","n.authors","gender.ratio.of.sample","observed.alpha","lower.95.CI","upper.95.CI","alpha.adjusted","lower.95.CI2","upper.95.CI2","two.tail.p.value"
"AAPS",52,167,31.7365269461078,0.0493864377925947,-0.0932965503480552,0.163856383946973,0.0578133620214057,-0.084462546584767,0.167494183697995,0.517
"AAPS PharmSciTech",59,198,35.8585858585859,0.0660308306532106,-0.01260202102275,0.187199541183702,0.0792336697349451,-0.00389367649626596,0.197288760731096,0.342
"AIDS",208,1230,41.1382113821138,0.03798529973655,0.00234614939701225,0.0731972271832545,0.0384968369840512,0.00411298474645978,0.0689181466041881,0.052
"AIDS Patient Care STDS",50,222,45.4954954954955,0.0447999345389085,-0.0507822818272384,0.124109876197936,0.0496522379510679,-0.0526436034201139,0.125217403480318,0.419
"AIDS Res Hum Retroviruses",62,469,44.3496801705757,0.00329977865897402,-0.0368591490454342,0.0398079007782511,0.00585539673183355,-0.0349629338051193,0.0448772596792206,0.926
"AJNR Am J Neuroradiol",71,330,18.1818181818182,0.0606995884773663,-0.0222605700503983,0.145261111587184,0.068944003527337,-0.0135358041910125,0.135341447304579,0.149
"AJR Am J Roentgenol",255,1176,24.4047619047619,0.113550440341299,0.061518137070841,0.155820661610894,0.114509771644398,0.0632879357019,0.154937391290228,0
"AMIA Annu Symp Proc",219,801,32.4594257178527,0.165174178871036,0.0647185183767404,0.178597563060575,0.167468185696005,0.066275212626935,0.180986987220664,0
"ANZ J Surg",125,489,24.1308793456033,-0.0551469743346942,-0.0753889390172916,0.0307090966715002,-0.0515681392480242,-0.0720929222110125,0.0355428617106853,0.177
"APMIS",53,202,38.1188118811881,0.102955102040816,-0.030678755099407,0.195196677184908,0.112180581323439,-0.0253724761455306,0.201480126923261,0.097
"ASAIO J",70,332,18.3734939759036,-0.0609815325319529,-0.110201759722334,0.0148874033833811,-0.0549586011082592,-0.101711940802725,0.0191214629466425,0.166
"Acad Emerg Med",139,577,33.7954939341421,0.115830280830281,0.0279655440975207,0.16235261794325,0.117997494070792,0.0338317485699607,0.16087154820452,0.001
"Acad Med",93,364,46.7032967032967,0.0723575353290332,-0.0457763760047897,0.103398851502562,0.0764729771946267,-0.0466154993470726,0.106142440606707,0.126
"Acad Psychiatry",61,228,38.5964912280702,0.0496074380165289,-0.0023281992663505,0.221298580484093,0.0545567689885871,0.0105596560163322,0.225312692343896,0.421
"Acad Radiol",78,339,20.353982300885,0.146226221443613,0.0318909220623998,0.213041107590475,0.153200173417565,0.0330017024469472,0.212716364017661,0.002
"Accid Anal Prev",63,206,31.5533980582524,-0.0261200737796483,-0.131179050334103,0.0771099685039777,-0.0201756163458291,-0.122275846926262,0.076613148814521,0.695
"Acta Biochim Pol",68,273,45.0549450549451,0.0277127371273713,-0.0668112549976488,0.0947816809484949,0.0334512195121952,-0.0663298453646689,0.0918957514581169,0.601
"Acta Cir Bras",67,309,30.42071197411,0.00412219316227236,-0.0489995916444582,0.110624381687139,0.00628566716147128,-0.0399947847677209,0.125392737868837,0.928
"Acta Crystallogr",253,945,24.6560846560847,0.0630199040362637,0.00264428075246022,0.114668459599061,0.0647890847277813,0.00613118668344862,0.114543662530466,0.017
