"journal","n.useable.papers","n.authors","gender.ratio.of.sample","observed.alpha","lower.95.CI","upper.95.CI","alpha.adjusted","lower.95.CI2","upper.95.CI2","two.tail.p.value"
"AAPS",52,115,32.1739130434783,0.0967923280423281,-0.130773036088439,0.320665302579365,0.1010333994709,-0.11484375,0.295456991129785,0.368
"AAPS PharmSciTech",59,139,32.3741007194245,0.0733682983682984,-0.103412905092593,0.242450834748161,0.0753690753690754,-0.0942315026927095,0.240533195970696,0.445
"AIDS",208,1022,40.6066536203522,-0.00824610201899578,-0.0851705414308149,0.0678523701813848,-0.00939435683025419,-0.0890444068585132,0.0686437836569646,0.844
"AIDS Patient Care STDS",50,172,41.2790697674419,0.0907407407407408,-0.115205381105743,0.282306151264396,0.0898611111111111,-0.0976435757853416,0.286004441941942,0.34
"AIDS Res Hum Retroviruses",62,407,42.2604422604423,0.0948293219126554,-0.00254817543801926,0.196760697492909,0.0928710564127232,-0.00363901981129108,0.194908189562908,0.102
"AJNR Am J Neuroradiol",71,259,16.6023166023166,0.0647352768267803,-0.0446909928122192,0.188738384109625,0.066374234879137,-0.0526622182514981,0.178412561954055,0.282
"AJR Am J Roentgenol",255,921,24.1042345276873,0.131418931945248,0.0362601912672401,0.224348956096575,0.134009583253004,0.0487102601196564,0.227260983964397,0.001
"AMIA Annu Symp Proc",219,582,31.9587628865979,0.222635911773843,0.124591220922792,0.319172879560435,0.222608729419074,0.120357286202174,0.324060387204334,0.001
"ANZ J Surg",125,364,23.0769230769231,-0.0802095430246691,-0.172298959248224,0.00545967950560198,-0.0802217623646195,-0.177564307545202,0.0171263919762723,0.179
"APMIS",53,149,34.2281879194631,0.156786731786732,-0.021664815710767,0.329268711696248,0.157046194546195,-0.0133331412762865,0.327661039385268,0.079
"ASAIO J",70,262,15.2671755725191,-0.0573777129899578,-0.155287109504366,0.0582327238075216,-0.0593780369290572,-0.157388888152664,0.041350324874719,0.326
"Acad Emerg Med",139,438,34.703196347032,0.214433947028424,0.0969949150877612,0.327199797704049,0.215798611111111,0.0974871204780363,0.332670830555367,0
"Acad Med",93,271,43.1734317343173,0.201608061749571,0.0671354661452064,0.334131839488801,0.196780303030303,0.063722293449863,0.330307517440488,0.01
"Acad Psychiatry",61,167,37.125748502994,0.0373465423465423,-0.139342026685777,0.211462884686215,0.044040404040404,-0.133776975745573,0.223505599377739,0.687
"Acad Radiol",78,261,19.1570881226054,0.18557116389409,0.0290458381076058,0.339373912313563,0.189764420830433,0.0328046766469011,0.351436860820847,0.013
"Accid Anal Prev",63,143,35.6643356643357,0.00483479105928075,-0.210928502214839,0.233501373626373,0.0107993197278911,-0.233993508117533,0.261167614273482,0.972
"Acta Biochim Pol",68,205,42.9268292682927,0.0408297258297258,-0.119082308358661,0.198216999567806,0.0402561327561327,-0.117203039713909,0.199239544681509,0.611
"Acta Cir Bras",67,242,32.2314049586777,-0.03067615935263,-0.203763218581083,0.145071710364937,-0.0242452536570184,-0.17904649520777,0.145412591172833,0.705
"Acta Crystallogr",253,692,22.3988439306358,0.0761167800453515,0.000351643282668864,0.156532460932813,0.0752381824524682,-0.00435175055590262,0.156552314554818,0.072
"Acta Crystallogr D Biol Crystallogr",72,217,20.7373271889401,0.0717383923266276,-0.0964952837345432,0.263808421516755,0.0763814616755792,-0.0945385373214943,0.269107779475426,0.331
"Acta Crystallogr Sect F Struct Biol Cryst Commun",187,801,31.0861423220974,0.0495998147542771,-0.0261529592802942,0.121013391537437,0.0472073980240457,-0.0273022686304269,0.120370515368178,0.206
"Acta Cytol",61,197,47.7157360406091,-0.151448306595365,-0.336583236318941,0.0316673952322667,-0.15154777820219,-0.335625872395618,0.0475617382359642,0.1
"Acta Derm Venereol",97,309,34.6278317152104,0.0793559218559219,-0.0509307845662867,0.20661849195507,0.0812062474562475,-0.0342014510037766,0.216562562605279,0.225
"Acta Neuropathol",52,205,29.2682926829268,0.0131132452981192,-0.166489879285047,0.179666735444178,0.011234493797519,-0.170076237380007,0.174807554636364,0.879
"Acta Obstet Gynecol Scand",126,380,43.6842105263158,0.153597883597884,0.0347220297487066,0.264962970653378,0.152616108171664,0.0387509041995758,0.264778717353653,0.018
"Acta Oncol",85,307,29.9674267100977,0.0470262498938969,-0.0943917840768148,0.190050895630109,0.0473424794160088,-0.107184163844964,0.184325815587525,0.488
"Acta Ophthalmol Scand",84,263,33.8403041825095,0.0262918871252206,-0.110518804099142,0.166576553897421,0.0262014991181658,-0.106460800610165,0.165707117334227,0.705
"Acta Orthop",97,305,11.4754098360656,0.102565359477124,-0.0114065460401667,0.218933181605976,0.105686274509804,-0.00628409767465028,0.230556173681356,0.066
"Acta Orthop Belg",97,235,8.93617021276596,-0.00815018315018301,-0.10082890070922,0.0990759408602151,0.00894383394383413,-0.0821360553697509,0.113245042574135,0.922
"Acta Orthop Traumatol Turc",50,168,2.97619047619048,0.142361111111111,-0.0425170068027212,0.32312925170068,0.170833333333334,-0.0116797760770974,0.351601473922903,0.049
"Acta Otolaryngol",86,302,26.158940397351,0.0403400248988484,-0.0883806216931216,0.171226381436769,0.0401493930905695,-0.0989383495668276,0.164810283942637,0.584
