"journal","n.useable.papers","n.authors","gender.ratio.of.sample","observed.alpha","lower.95.CI","upper.95.CI","alpha.adjusted","lower.95.CI2","upper.95.CI2","two.tail.p.value"
"AAPS",52,115,36.5217391304348,0.00594446204202292,-0.272398209671465,0.286062626004487,0.00935091331432786,-0.277863464787245,0.308574179216196,0.96
"AAPS PharmSciTech",59,139,42.4460431654676,-0.0574172576832152,-0.278050542186572,0.177472398402631,-0.0640809692671395,-0.294735551358482,0.168685726950354,0.63
"AIDS",208,1022,43.8356164383562,0.0261302815957989,-0.0648744624052845,0.127126730504645,0.0266623233088751,-0.0638650238490755,0.112207838120269,0.558
"AIDS Patient Care STDS",50,172,48.2558139534884,0.0986400462962964,-0.0891894029428409,0.299419184182511,0.0987557870370371,-0.0914188939464674,0.287940681323034,0.335
"AIDS Res Hum Retroviruses",62,407,45.9459459459459,0.0951749953492113,-0.0121394836784743,0.210017169010036,0.0962228054562548,-0.0137316724589297,0.210786005436272,0.118
"AJNR Am J Neuroradiol",71,259,20.4633204633205,-0.0125496031746032,-0.175142246642247,0.159870555755973,-0.0025669642857144,-0.167420319264069,0.19011496555693,0.891
"AJR Am J Roentgenol",255,921,25.9500542888165,0.126767742121003,0.0148605594270228,0.229624177549653,0.132207137585308,0.0297193472456199,0.248386232403884,0.003
"AMIA Annu Symp Proc",219,582,33.6769759450172,0.257340389784946,0.151603872931512,0.364473643882586,0.259056199596774,0.154891323092931,0.358552627315312,0
"ANZ J Surg",125,364,27.1978021978022,-0.142221011362024,-0.242836802490929,-0.0305364406766279,-0.143464292520896,-0.250934647273505,-0.0335974860270293,0.093
"APMIS",53,149,42.2818791946309,0.203174603174603,-0.0136280071280072,0.398269863816739,0.204349816849817,0.000269230581730587,0.401604532163743,0.07
"ASAIO J",70,262,20.6106870229008,-0.126461325270849,-0.278598783263305,0.10605431032812,-0.114103048626858,-0.270228303442589,0.113870245409992,0.236
