"Discipline","Journal","Author position","Age","Standardised IF","n useable papers","n authors","Gender ratio of sample","Observed alpha","Lower 95 CI","Upper 95 CI","Alpha adjusted","Lower 95 CI","Upper 95 CI","Unadjusted p value","Adjusted p value"
"Multidisciplinary","PLoS ONE","All authors","New",NA,9172,51570,41.082,0.083,0.069,0.081,0.083,0.069,0.082,0,0
"Multidisciplinary","Sci Rep","All authors","New",0.388,3587,20619,35.167,0.075,0.064,0.08,0.075,0.063,0.081,0,0
"Chemistry","J Chem Theory Comput","All authors","New",0.153,2049,6846,18.244,0.006,-0.01,0.026,0.006,-0.009,0.024,0.643,0.727
"Molecular Biology","Methods Mol Biol","All authors","New",NA,1513,4491,39.835,0.063,0.044,0.094,0.063,0.042,0.093,0,0
"Medicine","Med Sci Sports Exerc","All authors","New",0.302,1464,6821,37.341,0.109,0.082,0.123,0.109,0.084,0.121,0,0
"Psychology","Front Psychol","All authors","New",NA,1205,4382,48.608,0.119,0.078,0.127,0.119,0.076,0.126,0,0
"Zoology","Zootaxa","All authors","New",-0.282,1183,3335,25.097,0.055,0.031,0.101,0.056,0.029,0.105,0.002,0.008
"Multidisciplinary","Proc Natl Acad Sci USA","All authors","New",NA,1132,5857,30.732,0.045,0.015,0.043,0.045,0.016,0.044,0,0
"Chemistry","Phys Chem Chem Phys","All authors","New",0.077,1009,4166,23.116,0.041,0.021,0.065,0.042,0.022,0.066,0,0
"Chemistry","J Phys Chem","All authors","New",-0.068,988,3679,25.55,0.054,0.025,0.076,0.054,0.028,0.078,0,0
"Medicine","BMJ Case Rep","All authors","New",NA,982,3311,33.434,0.116,0.085,0.158,0.117,0.088,0.157,0,0
"Biophysics","Biochim Biophys Acta","All authors","New",0.323,881,4023,42.282,0.061,0.037,0.076,0.062,0.036,0.077,0,0
"Chemistry","Angew Chem Int Ed Engl","All authors","New",0.497,864,4056,23.471,0.035,0.015,0.054,0.036,0.018,0.054,0.005,0.017
"Ophthalmology","J Vis","All authors","New",0.068,842,2634,35.004,0.064,0.052,0.123,0.065,0.05,0.127,0,0
"Neoplasms","Oncotarget","All authors","New",0.195,835,6672,47.842,0.077,0.053,0.08,0.077,0.052,0.081,0,0
"Chemistry","J Chem Phys","All authors","New",-0.11,833,2752,15.952,0.04,0.002,0.064,0.039,0.002,0.062,0.034,0.077
"Multidisciplinary","Nat Commun","All authors","New",0.723,830,5484,28.702,0.065,0.039,0.066,0.065,0.039,0.066,0,0
"Environmental Health","Sci Total Environ","All authors","New",0.195,799,4002,38.531,0.056,0.036,0.08,0.056,0.036,0.083,0,0
"Cardiology","Int J Cardiol","All authors","New",0.3,789,4591,23.916,0.061,0.037,0.076,0.062,0.039,0.077,0,0
"Microbiology","Front Microbiol","All authors","New",NA,785,4034,44.695,0.047,0.028,0.07,0.047,0.028,0.07,0,0
"Chemistry","Chemistry","All authors","New",-0.017,782,4012,27.343,0.04,0.022,0.063,0.041,0.022,0.064,0.001,0.004
"Medicine","BMJ Open","All authors","New",0.104,747,4408,50.386,0.064,0.041,0.08,0.065,0.042,0.083,0,0
"Medicine","Biomed Res Int","All authors","New",0.024,702,3746,40.31,0.115,0.091,0.137,0.115,0.087,0.138,0,0
"Biochemistry","J Biol Chem","All authors","New",0.136,694,3876,40.067,0.021,0.001,0.035,0.021,-0.001,0.036,0.067,0.129
"Medicine","N Engl J Med","All authors","New",1.47,689,2158,27.294,0.057,0.025,0.068,0.058,0.026,0.071,0.009,0.027
"Medicine","Conf Proc IEEE Eng Med Biol Soc","All authors","New",NA,684,2771,23.565,0.066,0.042,0.109,0.066,0.044,0.107,0,0
"Medicine","Phys Rev Lett","All authors","New",0.579,675,2423,11.886,0.046,0.01,0.068,0.047,0.009,0.068,0.015,0.041
"Chemistry","Food Chem","All authors","New",0.036,641,2977,52.032,0.024,0.001,0.052,0.025,0.003,0.051,0.081,0.15
"Medicine","J Clin Diagn Res","All authors","New",NA,640,2482,36.06,0.096,0.061,0.132,0.096,0.062,0.133,0,0
"Chemistry","J Am Chem Soc","All authors","New",0.544,625,2808,23.718,0.042,0.012,0.065,0.042,0.013,0.068,0.001,0.004
"Medicine","Lancet","All authors","New",1.339,610,2393,32.386,0.038,0.036,0.093,0.039,0.039,0.094,0.042,0.089
"Chemistry","Chem Commun (Camb)","All authors","New",0.246,604,2592,24.151,0.036,0.001,0.051,0.037,0.003,0.056,0.036,0.08
"Toxicology","Environ Sci Pollut Res Int","All authors","New",NA,589,2742,44.639,0.08,0.061,0.13,0.08,0.06,0.126,0,0
"Chemistry","Int J Mol Sci","All authors","New",-0.059,571,2945,45.501,0.09,0.062,0.112,0.091,0.062,0.114,0,0
"Botany","Front Plant Sci","All authors","New",NA,562,2658,39.804,0.074,0.042,0.096,0.075,0.042,0.097,0,0
"Public Health","BMC Public Health","All authors","New",0.046,543,2893,55.029,0.094,0.058,0.11,0.094,0.056,0.11,0,0
