"journal","author_number","count","Discipline","percent"
"A A Case Rep","1",51,"Anesthesiology",12.5
"A A Case Rep","2",87,"Anesthesiology",21.3
"A A Case Rep","3",77,"Anesthesiology",18.8
"A A Case Rep","4",91,"Anesthesiology",22.2
"A A Case Rep","5+",103,"Anesthesiology",25.2
"AACN Adv Crit Care","1",261,"Critical Care",52.5
"AACN Adv Crit Care","2",129,"Critical Care",26
"AACN Adv Crit Care","3",62,"Critical Care",12.5
"AACN Adv Crit Care","4",25,"Critical Care",5
"AACN Adv Crit Care","5+",20,"Critical Care",4
"AACN Clin Issues","1",87,"Nursing",46.5
"AACN Clin Issues","2",55,"Nursing",29.4
"AACN Clin Issues","3",31,"Nursing",16.6
"AACN Clin Issues","4",7,"Nursing",3.7
"AACN Clin Issues","5+",7,"Nursing",3.7
"AANA","1",333,"Nursing",41.5
"AANA","2",159,"Nursing",19.8
"AANA","3",138,"Nursing",17.2
"AANA","4",71,"Nursing",8.8
"AANA","5+",102,"Nursing",12.7
"AAOHN","1",436,"Nursing",54.8
"AAOHN","2",151,"Nursing",19
"AAOHN","3",92,"Nursing",11.6
"AAOHN","4",47,"Nursing",5.9
"AAOHN","5+",70,"Nursing",8.8
"AAPS","1",115,"Pharmacology",10.2
"AAPS","2",186,"Pharmacology",16.4
"AAPS","3",187,"Pharmacology",16.5
"AAPS","4",158,"Pharmacology",13.9
"AAPS","5+",487,"Pharmacology",43
"AAPS PharmSciTech","1",57,"Pharmacology",3.1
"AAPS PharmSciTech","2",296,"Pharmacology",16.3
"AAPS PharmSciTech","3",396,"Pharmacology",21.8
"AAPS PharmSciTech","4",364,"Pharmacology",20
"AAPS PharmSciTech","5+",706,"Pharmacology",38.8
"Abdom Imaging","1",57,"Diagnostic Imaging",4.3
"Abdom Imaging","2",123,"Diagnostic Imaging",9.2
"Abdom Imaging","3",141,"Diagnostic Imaging",10.6
"Abdom Imaging","4",161,"Diagnostic Imaging",12.1
"Abdom Imaging","5+",851,"Diagnostic Imaging",63.8
"Abdom Radiol (NY)","1",10,"Diagnostic Imaging",5.3
"Abdom Radiol (NY)","2",29,"Diagnostic Imaging",15.3
"Abdom Radiol (NY)","3",20,"Diagnostic Imaging",10.6
"Abdom Radiol (NY)","4",25,"Diagnostic Imaging",13.2
"Abdom Radiol (NY)","5+",105,"Diagnostic Imaging",55.6
"ABNF","1",158,"Nursing",54.1
"ABNF","2",64,"Nursing",21.9
"ABNF","3",28,"Nursing",9.6
"ABNF","4",19,"Nursing",6.5
"ABNF","5+",23,"Nursing",7.9
"Acad Emerg Med","1",354,"Medicine",10.7
"Acad Emerg Med","2",459,"Medicine",13.9
"Acad Emerg Med","3",506,"Medicine",15.3
"Acad Emerg Med","4",479,"Medicine",14.5
"Acad Emerg Med","5+",1510,"Medicine",45.6
"Acad Med","1",1388,"Medicine",26.8
"Acad Med","2",896,"Medicine",17.3
"Acad Med","3",881,"Medicine",17
"Acad Med","4",648,"Medicine",12.5
"Acad Med","5+",1369,"Medicine",26.4
"Acad Pediatr","1",125,"Pediatrics",15.6
"Acad Pediatr","2",102,"Pediatrics",12.8
"Acad Pediatr","3",121,"Pediatrics",15.1
"Acad Pediatr","4",98,"Pediatrics",12.3
"Acad Pediatr","5+",353,"Pediatrics",44.2
"Acad Psychiatry","1",372,"Psychiatry",24
"Acad Psychiatry","2",292,"Psychiatry",18.9
"Acad Psychiatry","3",294,"Psychiatry",19
"Acad Psychiatry","4",205,"Psychiatry",13.2
"Acad Psychiatry","5+",385,"Psychiatry",24.9
"Acad Radiol","1",438,"Radiology",13.7
"Acad Radiol","2",303,"Radiology",9.5
"Acad Radiol","3",314,"Radiology",9.8
"Acad Radiol","4",352,"Radiology",11
"Acad Radiol","5+",1781,"Radiology",55.9
"Acc Chem Res","1",455,"Chemistry",17.2
"Acc Chem Res","2",799,"Chemistry",30.2
"Acc Chem Res","3",636,"Chemistry",24.1
"Acc Chem Res","4",381,"Chemistry",14.4
"Acc Chem Res","5+",373,"Chemistry",14.1
"Accid Anal Prev","1",300,"Traumatology",9.5
"Accid Anal Prev","2",728,"Traumatology",23.1
"Accid Anal Prev","3",815,"Traumatology",25.9
"Accid Anal Prev","4",577,"Traumatology",18.3
"Accid Anal Prev","5+",726,"Traumatology",23.1
"Accid Emerg Nurs","1",70,"Nursing",37.6
"Accid Emerg Nurs","2",50,"Nursing",26.9
"Accid Emerg Nurs","3",37,"Nursing",19.9
"Accid Emerg Nurs","4",14,"Nursing",7.5
"Accid Emerg Nurs","5+",15,"Nursing",8.1
"Account Res","1",175,"Ethics",47.8
"Account Res","2",103,"Ethics",28.1
"Account Res","3",40,"Ethics",10.9
"Account Res","4",18,"Ethics",4.9
"Account Res","5+",30,"Ethics",8.2
"ACG Case Rep","1",9,"Unclassified",3.5
"ACG Case Rep","2",41,"Unclassified",15.8
"ACG Case Rep","3",62,"Unclassified",23.9
"ACG Case Rep","4",81,"Unclassified",31.3
"ACG Case Rep","5+",66,"Unclassified",25.5
"ACP J Club","1",885,"Medicine",77
"ACP J Club","2",239,"Medicine",20.8
"ACP J Club","3",12,"Medicine",1
"ACP J Club","4",5,"Medicine",0.4
"ACP J Club","5+",9,"Medicine",0.8
"ACS Appl Mater Interfaces","1",37,"Biochemistry",0.3
"ACS Appl Mater Interfaces","2",680,"Biochemistry",5.4
"ACS Appl Mater Interfaces","3",1271,"Biochemistry",10.1
"ACS Appl Mater Interfaces","4",1826,"Biochemistry",14.5
"ACS Appl Mater Interfaces","5+",8781,"Biochemistry",69.7
"ACS Cent Sci","1",67,"Unclassified",42.7
"ACS Cent Sci","2",16,"Unclassified",10.2
"ACS Cent Sci","3",13,"Unclassified",8.3
"ACS Cent Sci","4",12,"Unclassified",7.6
"ACS Cent Sci","5+",49,"Unclassified",31.2
"ACS Chem Biol","1",201,"Biochemistry",9.3
"ACS Chem Biol","2",249,"Biochemistry",11.5
"ACS Chem Biol","3",226,"Biochemistry",10.5
"ACS Chem Biol","4",221,"Biochemistry",10.2
"ACS Chem Biol","5+",1263,"Biochemistry",58.5
"ACS Chem Neurosci","1",92,"Neurology",11
"ACS Chem Neurosci","2",83,"Neurology",9.9
"ACS Chem Neurosci","3",87,"Neurology",10.4
"ACS Chem Neurosci","4",99,"Neurology",11.8
"ACS Chem Neurosci","5+",479,"Neurology",57
"ACS Comb Sci","1",4,"Chemistry",0.8
"ACS Comb Sci","2",58,"Chemistry",11.4
"ACS Comb Sci","3",87,"Chemistry",17.1
"ACS Comb Sci","4",87,"Chemistry",17.1
"ACS Comb Sci","5+",272,"Chemistry",53.5
"ACS Med Chem Lett","1",228,"Medicine",17.9
"ACS Med Chem Lett","2",48,"Medicine",3.8
"ACS Med Chem Lett","3",33,"Medicine",2.6
"ACS Med Chem Lett","4",58,"Medicine",4.5
"ACS Med Chem Lett","5+",908,"Medicine",71.2
"ACS Nano","1",164,"Nanotechnology",1.8
"ACS Nano","2",509,"Nanotechnology",5.7
"ACS Nano","3",784,"Nanotechnology",8.8
"ACS Nano","4",1077,"Nanotechnology",12.1
"ACS Nano","5+",6374,"Nanotechnology",71.6
"ACS Synth Biol","1",26,"Biology",5.1
"ACS Synth Biol","2",80,"Biology",15.7
"ACS Synth Biol","3",61,"Biology",12
"ACS Synth Biol","4",97,"Biology",19
"ACS Synth Biol","5+",246,"Biology",48.2
"Acta Anaesthesiol Taiwan","1",41,"Anesthesiology",7.6
"Acta Anaesthesiol Taiwan","2",42,"Anesthesiology",7.8
"Acta Anaesthesiol Taiwan","3",78,"Anesthesiology",14.4
"Acta Anaesthesiol Taiwan","4",94,"Anesthesiology",17.4
"Acta Anaesthesiol Taiwan","5+",285,"Anesthesiology",52.8
"Acta Biochim Biophys Sin (Shanghai)","1",25,"Biophysics",1.6
"Acta Biochim Biophys Sin (Shanghai)","2",114,"Biophysics",7.1
"Acta Biochim Biophys Sin (Shanghai)","3",168,"Biophysics",10.5
"Acta Biochim Biophys Sin (Shanghai)","4",208,"Biophysics",13
"Acta Biochim Biophys Sin (Shanghai)","5+",1080,"Biophysics",67.7
"Acta Biochim Pol","1",88,"Biochemistry",5.7
"Acta Biochim Pol","2",226,"Biochemistry",14.8
"Acta Biochim Pol","3",277,"Biochemistry",18.1
"Acta Biochim Pol","4",285,"Biochemistry",18.6
"Acta Biochim Pol","5+",655,"Biochemistry",42.8
"Acta Bioeng Biomech","1",42,"Unclassified",9.5
"Acta Bioeng Biomech","2",93,"Unclassified",21.1
"Acta Bioeng Biomech","3",95,"Unclassified",21.5
"Acta Bioeng Biomech","4",88,"Unclassified",20
"Acta Bioeng Biomech","5+",123,"Unclassified",27.9
"Acta Biol Hung","1",25,"Biology",4.6
"Acta Biol Hung","2",60,"Biology",11.1
"Acta Biol Hung","3",114,"Biology",21.1
"Acta Biol Hung","4",92,"Biology",17
"Acta Biol Hung","5+",250,"Biology",46.2
"Acta Biomater","1",30,"Biomedical Engineering",0.9
"Acta Biomater","2",268,"Biomedical Engineering",7.9
"Acta Biomater","3",401,"Biomedical Engineering",11.8
"Acta Biomater","4",544,"Biomedical Engineering",15.9
"Acta Biomater","5+",2168,"Biomedical Engineering",63.6
"Acta Biomed","1",89,"Medicine",12.3
"Acta Biomed","2",83,"Medicine",11.5
"Acta Biomed","3",73,"Medicine",10.1
"Acta Biomed","4",81,"Medicine",11.2
"Acta Biomed","5+",398,"Medicine",55
"Acta Biotheor","1",103,"Biology",38.4
"Acta Biotheor","2",59,"Biology",22
"Acta Biotheor","3",52,"Biology",19.4
"Acta Biotheor","4",24,"Biology",9
"Acta Biotheor","5+",30,"Biology",11.2
