"Discipline","author_number","count","percent"
"AIDS","1",4854,15.5
"AIDS","2",3089,9.9
"AIDS","3",2858,9.1
"AIDS","4",2914,9.3
"AIDS","5+",17541,56.1
"Allergy and Immunology","1",4699,7
"Allergy and Immunology","2",7175,10.7
"Allergy and Immunology","3",7503,11.2
"Allergy and Immunology","4",8016,12
"Allergy and Immunology","5+",39416,59
"Anatomy","1",1467,10.9
"Anatomy","2",2407,17.8
"Anatomy","3",2480,18.3
"Anatomy","4",2156,16
"Anatomy","5+",5005,37
"Anesthesiology","1",6378,14.1
"Anesthesiology","2",7565,16.8
"Anesthesiology","3",7229,16
"Anesthesiology","4",6792,15.1
"Anesthesiology","5+",17142,38
"Anthropology","1",1190,14.6
"Anthropology","2",1453,17.8
"Anthropology","3",1393,17
"Anthropology","4",1112,13.6
"Anthropology","5+",3027,37
"Anti-Infective Agents","1",1289,4.3
"Anti-Infective Agents","2",2378,8
"Anti-Infective Agents","3",3052,10.2
"Anti-Infective Agents","4",3654,12.2
"Anti-Infective Agents","5+",19484,65.3
"Antineoplastic Agents","1",154,3.9
"Antineoplastic Agents","2",324,8.1
"Antineoplastic Agents","3",384,9.6
"Antineoplastic Agents","4",367,9.2
"Antineoplastic Agents","5+",2762,69.2
"Audiology","1",1086,12.8
"Audiology","2",1847,21.8
"Audiology","3",1708,20.1
"Audiology","4",1406,16.6
"Audiology","5+",2432,28.7
"Behavioral Sciences","1",2968,20
"Behavioral Sciences","2",3954,26.6
"Behavioral Sciences","3",3031,20.4
"Behavioral Sciences","4",2068,13.9
"Behavioral Sciences","5+",2856,19.2
"Biochemistry","1",14798,4.2
"Biochemistry","2",44685,12.8
"Biochemistry","3",52579,15.1
"Biochemistry","4",54016,15.5
"Biochemistry","5+",182627,52.4
"Bioinformatics","1",1210,5.2
"Bioinformatics","2",4723,20.3
"Bioinformatics","3",5231,22.4
"Bioinformatics","4",4329,18.6
"Bioinformatics","5+",7827,33.6
"Biology","1",17750,11.1
"Biology","2",30805,19.3
"Biology","3",28222,17.7
"Biology","4",23788,14.9
"Biology","5+",59095,37
"Biomedical Engineering","1",3198,3.7
"Biomedical Engineering","2",10332,12
"Biomedical Engineering","3",14418,16.7
"Biomedical Engineering","4",15376,17.8
"Biomedical Engineering","5+",43035,49.8
"Biophysics","1",8365,6.7
"Biophysics","2",23567,18.8
"Biophysics","3",23912,19
"Biophysics","4",19086,15.2
"Biophysics","5+",50735,40.4
"Biotechnology","1",6138,7.5
"Biotechnology","2",10122,12.4
"Biotechnology","3",12652,15.5
"Biotechnology","4",13723,16.8
"Biotechnology","5+",38867,47.7
"Botany","1",3073,6.2
"Botany","2",8319,16.7
"Botany","3",8518,17.1
"Botany","4",7704,15.4
"Botany","5+",22265,44.6
"Brain","1",3438,5.6
"Brain","2",8982,14.6
"Brain","3",10325,16.8
"Brain","4",9829,16
"Brain","5+",28915,47
"Cardiology","1",29104,11.4
"Cardiology","2",30734,12.1
"Cardiology","3",30199,11.9
"Cardiology","4",27281,10.7
"Cardiology","5+",137166,53.9
"Cell Biology","1",11655,6.7
"Cell Biology","2",26394,15.3
"Cell Biology","3",21959,12.7
"Cell Biology","4",20373,11.8
"Cell Biology","5+",92665,53.5
"Chemistry","1",14296,3.3
"Chemistry","2",63573,14.8
