"Discipline","Mean gender ratio","Mean adjusted alpha","SE of adjusted alpha","Median adjusted alpha","n journals","n significant homophily","n significant heterophily"
"Urology",19.4,0.12,0.02,0.101,19,"13 (11)","0"
"Public Health",53.3,0.104,0.007,0.1,36,"24 (18)","0"
"Nursing",77.4,0.103,0.018,0.102,24,"11 (9)","0"
"Radiology",30.5,0.1,0.016,0.101,12,"9 (8)","0"
"Nutritional Sciences",54.4,0.099,0.009,0.101,33,"23 (20)","0"
"Dentistry",37.7,0.093,0.014,0.107,23,"12 (9)","0"
"Unclassified",36.5,0.091,0.009,0.083,92,"43 (34)","0"
"Vascular Diseases",32.2,0.091,0.011,0.083,14,"10 (8)","0"
"Nephrology",35.7,0.088,0.017,0.097,14,"7 (6)","0"
"Traumatology",28.8,0.088,0.022,0.08,18,"10 (9)","0"
"Anesthesiology",34.6,0.087,0.016,0.078,17,"9 (9)","0"
"Biotechnology",37.6,0.087,0.016,0.08,19,"8 (7)","0"
"Medicine",39.8,0.087,0.004,0.085,343,"190 (155)","1 (1)"
"Physiology",37.6,0.086,0.011,0.081,34,"22 (18)","0"
"Communicable Diseases",44.2,0.085,0.018,0.072,13,"9 (6)","0"
"Otolaryngology",31.6,0.085,0.012,0.087,11,"6 (3)","0"
"Cardiology",24.4,0.083,0.007,0.079,61,"35 (32)","0"
"Multidisciplinary",35.4,0.083,0.011,0.081,22,"17 (14)","0"
"Pediatrics",50.5,0.081,0.008,0.084,56,"29 (21)","0"
"Neoplasms",43.3,0.078,0.007,0.07,75,"40 (38)","0"
"Pharmacology",43.3,0.078,0.008,0.075,57,"27 (25)","0"
"Geriatrics",49,0.077,0.013,0.093,11,"7 (6)","0"
"Orthopedics",17.9,0.077,0.01,0.078,21,"10 (8)","0"
"Psychology",47.3,0.077,0.01,0.069,51,"9 (8)","0"
"Gynecology",51.8,0.076,0.012,0.073,16,"8 (7)","0"
"Transplantation",33.8,0.074,0.031,0.046,10,"4 (4)","0"
"Chemistry Techniques, Analytical",34.7,0.073,0.008,0.079,19,"10 (7)","0"
"Toxicology",42.7,0.073,0.011,0.067,24,"14 (10)","0"
"Endocrinology",45.4,0.072,0.008,0.07,26,"15 (11)","0"
"Pulmonary Medicine",39.4,0.071,0.013,0.065,14,"8 (5)","0"
"Pathology",42.7,0.07,0.02,0.055,10,"3 (3)","0"
"Hematology",41.3,0.069,0.016,0.061,14,"7 (6)","0"
"Rheumatology",42.9,0.069,0.017,0.081,12,"9 (8)","0"
"Diagnostic Imaging",29.3,0.068,0.026,0.055,11,"4 (3)","0"
"General Surgery",25.3,0.068,0.006,0.068,73,"38 (32)","0"
"Gastroenterology",33.3,0.067,0.012,0.06,28,"17 (13)","0"
"Neurology",38,0.067,0.006,0.065,108,"51 (40)","1 (0)"
"Environmental Health",38.2,0.065,0.006,0.062,22,"10 (8)","0"
"Genetics",42.3,0.065,0.011,0.058,19,"10 (8)","0"
"Biophysics",28.6,0.059,0.016,0.06,10,"5 (4)","0"
"Psychiatry",48.7,0.059,0.007,0.053,44,"11 (9)","0"
"Biology",36.8,0.058,0.011,0.047,32,"12 (9)","0"
"Microbiology",44.3,0.057,0.007,0.054,35,"10 (6)","0"
"Biochemistry",39.3,0.055,0.007,0.06,48,"21 (17)","0"
"Chemistry",29.7,0.055,0.006,0.054,39,"18 (14)","0"
"Molecular Biology",37.5,0.055,0.013,0.041,23,"7 (5)","0"
"Dermatology",47.1,0.053,0.01,0.041,24,"8 (4)","0"
"Ophthalmology",33.1,0.052,0.007,0.054,35,"10 (5)","0"
"Allergy and Immunology",44,0.051,0.013,0.047,13,"4 (3)","0"
"Botany",38.5,0.045,0.012,0.04,18,"4 (2)","0"
"Brain",40.7,0.045,0.015,0.052,12,"4 (3)","0"
"Biomedical Engineering",25.7,0.04,0.013,0.045,12,"3 (2)","0"
"Cell Biology",42.1,0.039,0.01,0.047,35,"11 (8)","0"
"Immunology",43.3,0.036,0.014,0.031,20,"6 (4)","1 (0)"
"Substance-Related Disorders",50.4,0.036,0.008,0.029,10,"1 (0)","0"
"Veterinary Medicine",48.4,0.034,0.01,0.038,17,"1 (1)","0"
